index,European,Other/Mixed,Asian,African Am./Caribbean,Hispanic/Latin American,African
2007,93.33333333333333,2.2222222222222223,3.3333333333333335,0.0,1.1111111111111112,0.0
2008,85.63829787234043,4.787234042553192,4.787234042553192,3.723404255319149,1.0638297872340425,0.0
2009,74.64788732394366,5.985915492957746,11.971830985915492,4.225352112676056,2.112676056338028,1.056338028169014
2010,65.87677725118483,5.924170616113744,18.246445497630333,5.687203791469194,2.3696682464454977,1.8957345971563981
2011,61.44329896907217,3.0927835051546393,22.88659793814433,8.45360824742268,1.6494845360824744,2.4742268041237114
2012,59.578544061302686,4.022988505747127,20.49808429118774,10.919540229885058,4.022988505747127,0.9578544061302682
2013,57.49999999999999,4.5,24.5,7.5,5.0,1.0
2014,56.98729582577132,5.807622504537205,22.50453720508167,7.6225045372050815,5.081669691470054,1.9963702359346642
2015,56.596306068601585,6.860158311345646,19.261213720316622,7.12401055408971,7.519788918205805,2.638522427440633
2016,60.14957264957265,2.02991452991453,15.81196581196581,11.324786324786325,7.905982905982905,2.7777777777777777
2017,56.64662658650634,5.344021376085505,17.969271877087508,8.884435537742151,8.550434201736808,2.6052104208416833
2018,53.939745075318655,5.2723059096176135,24.44959443800695,7.531865585168019,5.330243337195829,3.476245654692932
2019,53.187772925764186,8.384279475982533,16.593886462882097,9.956331877729257,9.868995633187772,2.0087336244541487
